matchId,date,league_id,home,away,goals_home,goals_away,referee,stat_shots_on_goal_home,stat_shots_off_goal_home,stat_total_shots_home,stat_blocked_shots_home,stat_shots_insidebox_home,stat_shots_outsidebox_home,stat_fouls_home,stat_corner_kicks_home,stat_offsides_home,stat_ball_possession_home,stat_yellow_cards_home,stat_goalkeeper_saves_home,stat_total_passes_home,stat_passes_accurate_home,stat_passes_%_home,stat_expected_goals_home,stat_goals_prevented_home,stat_shots_on_goal_away,stat_shots_off_goal_away,stat_total_shots_away,stat_blocked_shots_away,stat_shots_insidebox_away,stat_shots_outsidebox_away,stat_fouls_away,stat_corner_kicks_away,stat_offsides_away,stat_ball_possession_away,stat_yellow_cards_away,stat_goalkeeper_saves_away,stat_total_passes_away,stat_passes_accurate_away,stat_passes_%_away,stat_expected_goals_away,stat_goals_prevented_away,odds_home,odds_draw,odds_away,stat_red_cards_home,stat_red_cards_away,elo_home,elo_away,points_home_cum,points_away_cum,points_diff,form_attack_home,form_goals_home,form_attack_away,form_goals_away,goal_diff,result_label
1045178,2024-05-19 19:00:00+00:00,61,Toulouse,Stade Brestois 29,0,3,J. Pignard,2.0,2.0,8.0,4.0,6.0,2.0,12.0,6.0,4.0,52.0,1.0,4.0,492.0,409.0,83.0,0.88,0.0,6.0,5.0,12.0,1.0,7.0,5.0,17.0,2.0,0.0,48.0,2.0,2.0,454.0,380.0,84.0,1.63,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,1.63,3.0,1.47,1.0,-3,A
1045186,2024-05-19 19:00:00+00:00,61,Metz,Paris Saint Germain,0,2,G. Angoula,2.0,6.0,10.0,2.0,8.0,2.0,6.0,1.0,0.0,24.0,2.0,5.0,239.0,172.0,72.0,0.87,0.0,8.0,9.0,20.0,3.0,14.0,6.0,9.0,10.0,1.0,76.0,1.0,2.0,789.0,721.0,91.0,2.04,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,1.53,2.0,1.78,2.0,-2,A
1200849,2024-05-23 18:30:00+00:00,78,Vfl Bochum,Fortuna Dusseldorf,0,3,R. Schröder,3.0,8.0,17.0,6.0,9.0,8.0,13.0,7.0,4.0,60.0,2.0,5.0,501.0,400.0,80.0,,,7.0,9.0,21.0,5.0,14.0,7.0,14.0,8.0,3.0,40.0,0.0,3.0,331.0,237.0,72.0,,,0.0,0.0,0.0,,,1487.5,1500.0,0,0,0,2.09,1.0,1.24,3.0,-3,A
1038330,2024-05-25 19:00:00+00:00,140,Real Madrid,Real Betis,0,0,"Isidro Diaz de Mera Escuderos, Spain",5.0,5.0,13.0,3.0,7.0,6.0,8.0,4.0,4.0,59.0,2.0,3.0,642.0,599.0,93.0,0.92,0.0,3.0,7.0,11.0,1.0,7.0,4.0,11.0,5.0,2.0,41.0,1.0,4.0,436.0,375.0,86.0,0.86,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,0.86,0.0,2.04,2.0,0,D
1038324,2024-05-26 12:00:00+00:00,140,Getafe,Mallorca,1,2,"Victor Garcia Verdura, Spain",6.0,6.0,16.0,4.0,7.0,9.0,12.0,3.0,0.0,50.0,0.0,2.0,409.0,338.0,83.0,0.89,0.0,4.0,3.0,9.0,2.0,7.0,2.0,10.0,4.0,2.0,50.0,2.0,5.0,390.0,309.0,79.0,1.49,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,1.09,4.0,2.1,2.0,-1,A
1038331,2024-05-26 14:15:00+00:00,140,Las Palmas,Alaves,1,1,"Francisco Hernandez Maeso, Spain",4.0,5.0,9.0,0.0,4.0,5.0,16.0,2.0,3.0,65.0,2.0,3.0,517.0,444.0,86.0,0.99,0.0,4.0,7.0,14.0,3.0,9.0,5.0,10.0,6.0,1.0,35.0,1.0,3.0,264.0,186.0,70.0,2.59,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,2.38,2.0,1.34,1.0,0,D
1038323,2024-05-26 14:15:00+00:00,140,Celta Vigo,Valencia,2,2,"Miguel Angel Ortiz Arias, Spain",4.0,4.0,9.0,1.0,5.0,4.0,17.0,2.0,3.0,54.0,,0.0,511.0,441.0,86.0,1.52,0.0,1.0,8.0,12.0,3.0,10.0,2.0,18.0,2.0,1.0,46.0,,2.0,433.0,356.0,82.0,1.96,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,1.21,1.0,0.78,1.0,0,D
1052630,2024-05-26 18:45:00+00:00,135,Lazio,Sassuolo,1,1,P. Tremolada,6.0,0.0,8.0,2.0,7.0,1.0,15.0,5.0,5.0,69.0,3.0,2.0,714.0,633.0,89.0,1.03,0.0,3.0,4.0,8.0,1.0,5.0,3.0,11.0,3.0,0.0,31.0,1.0,5.0,308.0,241.0,78.0,1.11,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,0.99,1.0,0.0,2.0,0,D
1052628,2024-05-26 18:45:00+00:00,135,Verona,Inter,2,2,L. Zufferli,8.0,2.0,18.0,8.0,10.0,8.0,17.0,9.0,2.0,35.0,1.0,8.0,300.0,238.0,79.0,1.75,0.0,11.0,1.0,15.0,3.0,13.0,2.0,8.0,3.0,5.0,65.0,1.0,6.0,591.0,514.0,87.0,2.38,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,1.96,2.0,0.89,1.0,0,D
1052625,2024-05-26 18:45:00+00:00,135,Empoli,AS Roma,2,1,D. Massa,7.0,5.0,17.0,5.0,15.0,2.0,18.0,4.0,3.0,33.0,4.0,3.0,252.0,185.0,73.0,2.64,0.0,3.0,8.0,15.0,4.0,9.0,6.0,12.0,5.0,2.0,67.0,1.0,5.0,550.0,473.0,86.0,1.34,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,0.83,0.0,1.78,4.0,1,H
1052626,2024-05-26 18:45:00+00:00,135,Frosinone,Udinese,0,1,D. Doveri,5.0,8.0,21.0,8.0,9.0,12.0,6.0,11.0,0.0,58.0,0.0,4.0,373.0,296.0,79.0,0.8,0.0,5.0,4.0,10.0,1.0,7.0,3.0,13.0,1.0,2.0,42.0,2.0,5.0,266.0,185.0,70.0,0.78,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,0.0,3.0,0.88,0.0,-1,A
1038329,2024-05-26 19:00:00+00:00,140,Sevilla,Barcelona,1,2,"Javier Iglesias Villanueva, Spain",6.0,8.0,15.0,1.0,13.0,2.0,11.0,6.0,1.0,39.0,2.0,4.0,401.0,355.0,89.0,1.47,0.0,6.0,4.0,11.0,1.0,9.0,2.0,9.0,5.0,7.0,61.0,1.0,5.0,645.0,595.0,92.0,1.35,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,1.11,1.0,1.77,2.0,-1,A
1201624,2024-05-30 18:30:00+00:00,61,Saint Etienne,Metz,2,1,B. Millot,5.0,5.0,15.0,5.0,12.0,3.0,16.0,5.0,3.0,55.0,2.0,1.0,484.0,391.0,81.0,,,2.0,3.0,5.0,0.0,2.0,3.0,10.0,2.0,0.0,45.0,1.0,3.0,409.0,319.0,78.0,,,0.0,0.0,0.0,,,1500.0,1487.5,0,0,0,0.32,0.0,0.87,0.0,1,H
1052533,2024-06-02 16:00:00+00:00,135,Atalanta,Fiorentina,2,3,D. Orsato,3.0,8.0,12.0,1.0,9.0,3.0,5.0,4.0,5.0,54.0,0.0,1.0,480.0,393.0,82.0,1.77,0.0,4.0,2.0,8.0,2.0,6.0,2.0,9.0,4.0,4.0,46.0,2.0,1.0,425.0,337.0,79.0,1.24,0.0,0.0,0.0,0.0,,,1500.0,1500.0,0,0,0,3.01,2.0,1.8,3.0,-1,A
